Strain 1,,,,,,Parental Strain,,,,Strain 2,,,,,Strain1,Strain1,Strain1,H3R63A.5,Strain1,SD
,Day 2,Day 7,Day 21,,,Day 2,Day 7,Day 21,,,Day 2,Day 7,Day 21,,100,100,100,100,100,0
0.25,0.040829541,0.230330187,0.114179226,,0.25,0.065829541,0.263330187,0.231179226,,0.25,0.068829541,0.285330187,0.257179226,,8.15,43.29,43.51,15.62,27.6425,18.44920843
0.5,0.031613879,0.1587735,0.114946166,,0.5,0.046613879,0.2157735,0.235946166,,0.5,0.053613879,0.2607735,0.263946166,,0.02,3.85,0.05,0.11,1.0075,1.895369357
0.75,0.039398217,0.159216813,0.114713105,,0.75,0.057398217,0.210216813,0.238713105,,0.75,0.060398217,0.253216813,0.262713105,,WT,WT,WT,WT,,
1,0.038182554,0.150660125,0.111480045,,1,0.066182554,0.203660125,0.227480045,,1,0.067182554,0.240660125,0.260480045,,100,100,100,100,100,0
1.25,0.040966892,0.144103438,0.117246985,,1.25,0.065966892,0.193103438,0.234246985,,1.25,0.100966892,0.233103438,0.263246985,,68.91,66.28,60.73,50.11,61.5075,8.328290641
1.5,0.04275123,0.136546751,0.111013925,,1.5,0.07175123,0.182546751,0.226013925,,1.5,0.07575123,0.221546751,0.260013925,,24.29,31.62,36.89,16.31,27.2775,8.953000894
1.75,0.055535567,0.131990063,0.109780864,,1.75,0.083535567,0.178990063,0.220780864,,1.75,0.089535567,0.223990063,0.255780864,,Strain 2,Strain 2,Strain 2,Strain 2,,
2,0.062319905,0.127433376,0.104547804,,2,0.091319905,0.170433376,0.218547804,,2,0.092319905,0.223433376,0.254547804,,100,100,100,100,100,0
2.25,0.067104243,0.118876689,0.103314744,,2.25,0.100104243,0.165876689,0.219314744,,2.25,0.106104243,0.211876689,0.245314744,,73.91,73.8,68.33,79.79,73.9575,4.680237708
2.5,0.08288858,0.118320001,0.100081683,,2.5,0.11688858,0.164320001,0.218081683,,2.5,0.11688858,0.208320001,0.253081683,,43.54,50.49,50.38,40.52,46.2325,5.007004261
2.75,0.098672918,0.109763314,0.101848623,,2.75,0.131672918,0.169763314,0.222848623,,2.75,0.132672918,0.200763314,0.249848623,,,,,,,
3,0.117457256,0.113206627,0.096615563,,3,0.147457256,0.181206627,0.226615563,,3,0.145457256,0.205206627,0.247615563,,,,,,,
3.25,0.131241593,0.111649939,0.099382502,,3.25,0.165241593,0.187649939,0.226382502,,3.25,0.165241593,0.207649939,0.245382502,,,,,,,
3.5,0.154025931,0.107093252,0.097149442,,3.5,0.186025931,0.194093252,0.226149442,,3.5,0.184025931,0.206093252,0.248149442,,,,,,,
3.75,0.179810269,0.113536565,0.108916382,,3.75,0.210810269,0.210536565,0.233916382,,3.75,0.209810269,0.215536565,0.252916382,,,,,,,
4,0.208594606,0.121979877,0.104683322,,4,0.232594606,0.226979877,0.239683322,,4,0.227594606,0.221979877,0.251683322,,,,,,,
4.25,0.240378944,0.12942319,0.110450261,,4.25,0.255378944,0.24842319,0.253450261,,4.25,0.256378944,0.23542319,0.256450261,,,,,,,
4.5,0.280163282,0.137866503,0.100217201,,4.5,0.283163282,0.268866503,0.259217201,,4.5,0.283163282,0.248866503,0.259217201,,,,,,,
4.75,0.318947619,0.160309815,0.108984141,,4.75,0.313947619,0.289309815,0.265984141,,4.75,0.313947619,0.269309815,0.256984141,,,,,,,
5,0.365731957,0.180753128,0.10775108,,5,0.343731957,0.317753128,0.28675108,,5,0.347731957,0.293753128,0.26775108,,,,,,,
5.25,0.408516295,0.206196441,0.11251802,,5.25,0.387516295,0.344196441,0.30251802,,5.25,0.400516295,0.322196441,0.27551802,,,,,,,
5.5,0.455300632,0.241639753,0.11128496,,5.5,0.435300632,0.374639753,0.32128496,,5.5,0.459300632,0.349639753,0.27728496,,,,,,,
5.75,0.50208497,0.262083066,0.1080519,,5.75,0.48008497,0.401083066,0.3390519,,5.75,0.50208497,0.381083066,0.2900519,,,,,,,
6,0.539869308,0.299526379,0.114818839,,6,0.519869308,0.440526379,0.360818839,,6,0.562869308,0.413526379,0.304818839,,,,,,,
6.25,0.589653645,0.322969691,0.113585779,,6.25,0.566653645,0.468969691,0.382585779,,6.25,0.606653645,0.435969691,0.321585779,,,,,,,
