interp,x,points,
0.000430411,0.096,0.011,0.12533
0.001585417,0.0975,0.023,0.1424
0.002760678,0.099,0.046,0.13966
0.003956092,0.1005,0.093,0.16966
0.005171559,0.102,0.187,0.23166
0.006406979,0.1035,0.375,0.33633
0.007662252,0.105,0.75,0.4896
0.00893728,0.1065,1.5,0.748
0.010231962,0.108,3,1.13
0.0115462,0.1095,6,1.503
0.012879895,0.111,,
0.014232949,0.1125,,
0.015605265,0.114,,
0.016996744,0.1155,,
0.018407289,0.117,,
0.019836804,0.1185,,
0.021285191,0.12,,
0.022752354,0.1215,,
0.024238198,0.123,,
0.025742625,0.1245,,
0.027265541,0.126,,
0.028806851,0.1275,,
0.03036646,0.129,,
0.031944273,0.1305,,
0.033540196,0.132,,
0.035154135,0.1335,,
0.036785996,0.135,,
0.038435687,0.1365,,
0.040103113,0.138,,
0.041788183,0.1395,,
0.043490804,0.141,,
0.045210883,0.1425,,
0.046948329,0.144,,
0.048703051,0.1455,,
0.050474958,0.147,,
0.052263958,0.1485,,
0.05406996,0.15,,
0.055892875,0.1515,,
0.057732613,0.153,,
0.059589084,0.1545,,
0.061462199,0.156,,
0.063351868,0.1575,,
0.065258003,0.159,,
0.067180516,0.1605,,
0.069119318,0.162,,
0.071074321,0.1635,,
0.073045439,0.165,,
0.075032583,0.1665,,
0.077035667,0.168,,
0.079054604,0.1695,,
0.081089309,0.171,,
0.083139695,0.1725,,
0.085205676,0.174,,
0.087287167,0.1755,,
0.089384083,0.177,,
0.091496339,0.1785,,
0.093623851,0.18,,
0.095766535,0.1815,,
0.097924306,0.183,,
0.100097082,0.1845,,
0.102284779,0.186,,
0.104487314,0.1875,,
0.106704605,0.189,,
0.108936568,0.1905,,
0.111183124,0.192,,
0.113444188,0.1935,,
0.115719681,0.195,,
0.118009521,0.1965,,
0.120313627,0.198,,
0.12263192,0.1995,,
0.124964318,0.201,,
0.127310742,0.2025,,
0.129671112,0.204,,
0.132045349,0.2055,,
0.134433375,0.207,,
0.13683511,0.2085,,
0.139250476,0.21,,
0.141679396,0.2115,,
0.144121791,0.213,,
0.146577584,0.2145,,
0.149046699,0.216,,
0.151529057,0.2175,,
0.154024583,0.219,,
0.156533201,0.2205,,
0.159054835,0.222,,
0.161589409,0.2235,,
0.164136848,0.225,,
0.166697077,0.2265,,
0.169270021,0.228,,
0.171855606,0.2295,,
0.174453758,0.231,,
0.177064404,0.2325,,
0.179687469,0.234,,
0.182322881,0.2355,,
0.184970567,0.237,,
0.187630454,0.2385,,
0.190302471,0.24,,
0.192986545,0.2415,,
0.195682605,0.243,,
0.198390579,0.2445,,
0.201110397,0.246,,
0.203841988,0.2475,,
0.206585282,0.249,,
0.209340207,0.2505,,
0.212106696,0.252,,
0.214884678,0.2535,,
0.217674085,0.255,,
0.220474846,0.2565,,
0.223286895,0.258,,
0.226110162,0.2595,,
0.22894458,0.261,,
0.231790082,0.2625,,
0.234646599,0.264,,
0.237514065,0.2655,,
0.240392413,0.267,,
0.243281578,0.2685,,
0.246181492,0.27,,
0.24909209,0.2715,,
0.252013307,0.273,,
0.254945077,0.2745,,
0.257887336,0.276,,
0.260840019,0.2775,,
0.263803062,0.279,,
0.266776401,0.2805,,
0.269759972,0.282,,
0.272753713,0.2835,,
0.275757559,0.285,,
0.278771449,0.2865,,
0.28179532,0.288,,
0.28482911,0.2895,,
0.287872756,0.291,,
0.290926199,0.2925,,
0.293989376,0.294,,
0.297062227,0.2955,,
0.300144691,0.297,,
0.303236708,0.2985,,
0.306338217,0.3,,
0.30944916,0.3015,,
0.312569478,0.303,,
0.31569911,0.3045,,
0.318837998,0.306,,
0.321986084,0.3075,,
0.32514331,0.309,,
0.328309618,0.3105,,
0.331484951,0.312,,
0.334669251,0.3135,,
0.337862461,0.315,,
0.341064525,0.3165,,
0.344275387,0.318,,
0.347494991,0.3195,,
0.350723281,0.321,,
0.353960201,0.3225,,
0.357205697,0.324,,
0.360459714,0.3255,,
0.363722198,0.327,,
0.366993094,0.3285,,
0.370272348,0.33,,
0.373559908,0.3315,,
0.37685572,0.333,,
0.380159731,0.3345,,
0.383471888,0.336,,
0.38679214,0.3375,,
0.390120433,0.339,,
0.393456718,0.3405,,
0.396800941,0.342,,
0.400153053,0.3435,,
0.403513002,0.345,,
0.406880738,0.3465,,
0.410256211,0.348,,
0.413639371,0.3495,,
0.417030169,0.351,,
0.420428554,0.3525,,
0.42383448,0.354,,
0.427247896,0.3555,,
0.430668754,0.357,,
0.434097008,0.3585,,
0.437532608,0.36,,
0.440975507,0.3615,,
0.444425659,0.363,,
0.447883017,0.3645,,
0.451347534,0.366,,
0.454819163,0.3675,,
0.458297861,0.369,,
0.461783579,0.3705,,
0.465276275,0.372,,
0.468775902,0.3735,,
0.472282415,0.375,,
0.475795772,0.3765,,
0.479315927,0.378,,
0.482842837,0.3795,,
0.486376459,0.381,,
0.489916749,0.3825,,
0.493463664,0.384,,
0.497017163,0.3855,,
0.500577203,0.387,,
0.504143743,0.3885,,
0.507716739,0.39,,
0.511296153,0.3915,,
0.514881941,0.393,,
0.518474065,0.3945,,
0.522072483,0.396,,
0.525677156,0.3975,,
0.529288043,0.399,,
0.532905106,0.4005,,
0.536528305,0.402,,
0.540157602,0.4035,,
0.543792957,0.405,,
0.547434333,0.4065,,
0.551081693,0.408,,
0.554734998,0.4095,,
0.55839421,0.411,,
0.562059294,0.4125,,
0.565730213,0.414,,
0.56940693,0.4155,,
0.573089409,0.417,,
0.576777614,0.4185,,
0.58047151,0.42,,
0.584171062,0.4215,,
0.587876236,0.423,,
0.591586995,0.4245,,
0.595303308,0.426,,
0.599025138,0.4275,,
0.602752454,0.429,,
0.606485221,0.4305,,
0.610223407,0.432,,
0.613966979,0.4335,,
0.617715904,0.435,,
0.621470151,0.4365,,
0.625229688,0.438,,
0.628994483,0.4395,,
0.632764506,0.441,,
0.636539725,0.4425,,
0.64032011,0.444,,
0.64410563,0.4455,,
0.647896256,0.447,,
0.651691959,0.4485,,
0.655492708,0.45,,
0.659298476,0.4515,,
0.663109232,0.453,,
0.66692495,0.4545,,
0.6707456,0.456,,
0.674571155,0.4575,,
0.678401588,0.459,,
0.682236871,0.4605,,
0.686076978,0.462,,
0.689921881,0.4635,,
0.693771556,0.465,,
0.697625976,0.4665,,
0.701485114,0.468,,
0.705348947,0.4695,,
0.709217449,0.471,,
0.713090594,0.4725,,
0.71696836,0.474,,
0.720850722,0.4755,,
0.724737655,0.477,,
0.728629137,0.4785,,
0.732525144,0.48,,
0.736425654,0.4815,,
0.740330644,0.483,,
0.744240091,0.4845,,
0.748153974,0.486,,
0.752072272,0.4875,,
0.755994962,0.489,,
0.759922024,0.4905,,
0.763853437,0.492,,
0.76778918,0.4935,,
0.771729234,0.495,,
0.775673579,0.4965,,
0.779622195,0.498,,
0.783575063,0.4995,,
0.787532164,0.501,,
0.79149348,0.5025,,
0.795458992,0.504,,
0.799428683,0.5055,,
0.803402534,0.507,,
0.807380529,0.5085,,
0.81136265,0.51,,
0.815348881,0.5115,,
0.819339205,0.513,,
0.823333606,0.5145,,
0.827332068,0.516,,
0.831334576,0.5175,,
0.835341115,0.519,,
0.839351669,0.5205,,
0.843366224,0.522,,
0.847384767,0.5235,,
0.851407282,0.525,,
0.855433756,0.5265,,
0.859464175,0.528,,
0.863498528,0.5295,,
0.867536801,0.531,,
0.871578981,0.5325,,
0.875625056,0.534,,
0.879675015,0.5355,,
0.883728847,0.537,,
0.887786539,0.5385,,
0.89184808,0.54,,
0.895913462,0.5415,,
0.899982672,0.543,,
0.904055701,0.5445,,
0.90813254,0.546,,
0.912213178,0.5475,,
0.916297608,0.549,,
0.920385819,0.5505,,
0.924477804,0.552,,
0.928573555,0.5535,,
0.932673063,0.555,,
0.936776322,0.5565,,
0.940883323,0.558,,
0.944994061,0.5595,,
0.949108527,0.561,,
0.953226717,0.5625,,
0.957348624,0.564,,
0.961474242,0.5655,,
0.965603565,0.567,,
0.96973659,0.5685,,
0.973873311,0.57,,
0.978013723,0.5715,,
0.982157823,0.573,,
0.986305606,0.5745,,
0.990457069,0.576,,
0.994612209,0.5775,,
0.998771023,0.579,,
1.002933508,0.5805,,
1.007099661,0.582,,
1.011269482,0.5835,,
1.015442967,0.585,,
1.019620116,0.5865,,
1.023800928,0.588,,
1.027985401,0.5895,,
1.032173535,0.591,,
1.036365331,0.5925,,
1.040560788,0.594,,
1.044759906,0.5955,,
1.048962687,0.597,,
1.053169131,0.5985,,
1.05737924,0.6,,
1.061593015,0.6015,,
1.065810458,0.603,,
1.070031572,0.6045,,
1.07425636,0.606,,
1.078484823,0.6075,,
1.082716965,0.609,,
1.08695279,0.6105,,
1.091192302,0.612,,
1.095435504,0.6135,,
1.099682401,0.615,,
1.103932998,0.6165,,
1.1081873,0.618,,
1.112445311,0.6195,,
1.116707039,0.621,,
1.120972488,0.6225,,
1.125241665,0.624,,
1.129514576,0.6255,,
1.133791229,0.627,,
1.13807163,0.6285,,
1.142355787,0.63,,
1.146643708,0.6315,,
1.1509354,0.633,,
1.155230873,0.6345,,
1.159530135,0.636,,
1.163833194,0.6375,,
1.168140061,0.639,,
1.172450745,0.6405,,
1.176765255,0.642,,
1.181083602,0.6435,,
1.185405797,0.645,,
1.18973185,0.6465,,
1.194061773,0.648,,
1.198395576,0.6495,,
1.202733273,0.651,,
1.207074874,0.6525,,
1.211420392,0.654,,
1.21576984,0.6555,,
1.220123231,0.657,,
1.224480578,0.6585,,
1.228841895,0.66,,
1.233207195,0.6615,,
1.237576493,0.663,,
1.241949804,0.6645,,
1.246327141,0.666,,
1.250708521,0.6675,,
1.255093959,0.669,,
1.25948347,0.6705,,
1.263877071,0.672,,
1.268274778,0.6735,,
1.272676607,0.675,,
1.277082576,0.6765,,
1.281492702,0.678,,
1.285907002,0.6795,,
1.290325494,0.681,,
1.294748197,0.6825,,
1.299175129,0.684,,
1.303606308,0.6855,,
1.308041755,0.687,,
1.312481487,0.6885,,
1.316925526,0.69,,
1.321373891,0.6915,,
1.325826603,0.693,,
1.330283681,0.6945,,
1.334745148,0.696,,
1.339211023,0.6975,,
1.34368133,0.699,,
1.348156089,0.7005,,
1.352635324,0.702,,
1.357119055,0.7035,,
1.361607307,0.705,,
1.366100102,0.7065,,
1.370597464,0.708,,
1.375099416,0.7095,,
1.379605983,0.711,,
1.384117188,0.7125,,
1.388633057,0.714,,
1.393153613,0.7155,,
1.397678884,0.717,,
1.402208894,0.7185,,
1.406743668,0.72,,
1.411283234,0.7215,,
1.415827617,0.723,,
1.420376845,0.7245,,
1.424930944,0.726,,
1.429489941,0.7275,,
1.434053866,0.729,,
1.438622745,0.7305,,
1.443196606,0.732,,
1.447775479,0.7335,,
1.452359393,0.735,,
1.456948376,0.7365,,
1.461542458,0.738,,
1.466141669,0.7395,,
1.470746039,0.741,,
1.475355599,0.7425,,
1.479970379,0.744,,
1.48459041,0.7455,,
1.489215724,0.747,,
1.493846353,0.7485,,
1.498482328,0.75,,
1.503123681,0.7515,,
1.507770446,0.753,,
1.512422655,0.7545,,
1.517080341,0.756,,
1.521743539,0.7575,,
1.526412281,0.759,,
1.531086602,0.7605,,
1.535766536,0.762,,
1.540452118,0.7635,,
1.545143383,0.765,,
1.549840367,0.7665,,
1.554543105,0.768,,
1.559251633,0.7695,,
1.563965987,0.771,,
1.568686204,0.7725,,
1.573412321,0.774,,
1.578144375,0.7755,,
1.582882403,0.777,,
1.587626444,0.7785,,
1.592376535,0.78,,
1.597132714,0.7815,,
1.601895022,0.783,,
1.606663496,0.7845,,
1.611438175,0.786,,
1.616219101,0.7875,,
1.621006312,0.789,,
1.625799848,0.7905,,
1.630599751,0.792,,
1.635406061,0.7935,,
1.64021882,0.795,,
1.645038068,0.7965,,
1.649863848,0.798,,
1.654696201,0.7995,,
1.659535171,0.801,,
1.664380799,0.8025,,
1.66923313,0.804,,
1.674092205,0.8055,,
1.67895807,0.807,,
1.683830767,0.8085,,
1.688710341,0.81,,
1.693596836,0.8115,,
1.698490298,0.813,,
1.703390771,0.8145,,
1.708298301,0.816,,
1.713212934,0.8175,,
1.718134716,0.819,,
1.723063693,0.8205,,
1.727999912,0.822,,
1.73294342,0.8235,,
1.737894264,0.825,,
1.742852491,0.8265,,
1.747818151,0.828,,
1.75279129,0.8295,,
1.757771958,0.831,,
1.762760203,0.8325,,
1.767756075,0.834,,
1.772759622,0.8355,,
1.777770895,0.837,,
1.782789944,0.8385,,
1.787816819,0.84,,
1.792851571,0.8415,,
1.79789425,0.843,,
1.802944908,0.8445,,
1.808003597,0.846,,
1.813070368,0.8475,,
1.818145275,0.849,,
1.823228368,0.8505,,
1.828319701,0.852,,
1.833419327,0.8535,,
1.8385273,0.855,,
1.843643674,0.8565,,
1.848768501,0.858,,
1.853901838,0.8595,,
1.859043738,0.861,,
1.864194256,0.8625,,
1.869353447,0.864,,
1.874521368,0.8655,,
1.879698074,0.867,,
1.884883621,0.8685,,
1.890078066,0.87,,
1.895281465,0.8715,,
1.900493876,0.873,,
1.905715356,0.8745,,
1.910945963,0.876,,
1.916185754,0.8775,,
1.921434789,0.879,,
1.926693125,0.8805,,
1.931960823,0.882,,
1.93723794,0.8835,,
1.942524536,0.885,,
1.947820672,0.8865,,
1.953126408,0.888,,
1.958441803,0.8895,,
1.96376692,0.891,,
1.969101818,0.8925,,
1.97444656,0.894,,
1.979801206,0.8955,,
1.98516582,0.897,,
1.990540463,0.8985,,
1.995925198,0.9,,
2.001320088,0.9015,,
2.006725195,0.903,,
2.012140585,0.9045,,
2.01756632,0.906,,
2.023002465,0.9075,,
2.028449083,0.909,,
2.033906241,0.9105,,
2.039374003,0.912,,
2.044852434,0.9135,,
2.0503416,0.915,,
2.055841566,0.9165,,
2.061352401,0.918,,
2.066874169,0.9195,,
2.072406938,0.921,,
2.077950775,0.9225,,
2.083505748,0.924,,
2.089071923,0.9255,,
2.094649371,0.927,,
2.100238158,0.9285,,
2.105838355,0.93,,
2.111450029,0.9315,,
2.11707325,0.933,,
2.122708088,0.9345,,
2.128354612,0.936,,
2.134012894,0.9375,,
2.139683004,0.939,,
2.145365012,0.9405,,
2.151058989,0.942,,
2.156765008,0.9435,,
2.16248314,0.945,,
2.168213458,0.9465,,
2.173956033,0.948,,
2.179710938,0.9495,,
2.185478246,0.951,,
2.191258032,0.9525,,
2.197050367,0.954,,
2.202855327,0.9555,,
2.208672986,0.957,,
2.214503418,0.9585,,
2.220346698,0.96,,
2.226202901,0.9615,,
2.232072103,0.963,,
2.237954379,0.9645,,
2.243849806,0.966,,
2.24975846,0.9675,,
2.255680418,0.969,,
2.261615756,0.9705,,
2.267564553,0.972,,
2.273526885,0.9735,,
2.279502831,0.975,,
2.285492469,0.9765,,
2.291495878,0.978,,
2.297513136,0.9795,,
2.303544322,0.981,,
2.309589516,0.9825,,
2.315648798,0.984,,
2.321722248,0.9855,,
2.327809946,0.987,,
2.333911973,0.9885,,
2.34002841,0.99,,
2.346159338,0.9915,,
2.352304839,0.993,,
2.358464995,0.9945,,
2.364639888,0.996,,
2.370829601,0.9975,,
2.377034216,0.999,,
2.383253816,1.0005,,
2.389488485,1.002,,
2.395738308,1.0035,,
2.402003367,1.005,,
2.408283747,1.0065,,
2.414579533,1.008,,
2.42089081,1.0095,,
2.427217663,1.011,,
2.433560178,1.0125,,
2.439918441,1.014,,
2.446292537,1.0155,,
2.452682554,1.017,,
2.459088578,1.0185,,
2.465510697,1.02,,
2.471948997,1.0215,,
2.478403567,1.023,,
2.484874495,1.0245,,
2.491361869,1.026,,
2.497865777,1.0275,,
2.504386309,1.029,,
2.510923553,1.0305,,
2.5174776,1.032,,
2.52404854,1.0335,,
2.530636462,1.035,,
2.537241457,1.0365,,
2.543863616,1.038,,
2.55050303,1.0395,,
2.55715979,1.041,,
2.563833989,1.0425,,
2.570525718,1.044,,
2.577235069,1.0455,,
2.583962135,1.047,,
2.59070701,1.0485,,
2.597469786,1.05,,
2.604250556,1.0515,,
2.611049416,1.053,,
2.617866459,1.0545,,
2.624701779,1.056,,
2.631555471,1.0575,,
2.638427631,1.059,,
2.645318353,1.0605,,
2.652227734,1.062,,
2.65915587,1.0635,,
2.666102856,1.065,,
2.67306879,1.0665,,
2.680053768,1.068,,
2.687057888,1.0695,,
2.694081246,1.071,,
2.701123943,1.0725,,
2.708186074,1.074,,
2.715267739,1.0755,,
2.722369036,1.077,,
2.729490065,1.0785,,
2.736630925,1.08,,
2.743791715,1.0815,,
2.750972536,1.083,,
2.758173488,1.0845,,
2.765394672,1.086,,
2.772636188,1.0875,,
2.779898137,1.089,,
2.787180622,1.0905,,
2.794483744,1.092,,
2.801807605,1.0935,,
2.809152308,1.095,,
2.816517955,1.0965,,
2.82390465,1.098,,
2.831312495,1.0995,,
2.838741595,1.101,,
2.846192054,1.1025,,
2.853663975,1.104,,
2.861157464,1.1055,,
2.868672625,1.107,,
2.876209564,1.1085,,
2.883768385,1.11,,
2.891349196,1.1115,,
2.898952101,1.113,,
2.906577208,1.1145,,
2.914224623,1.116,,
2.921894453,1.1175,,
2.929586806,1.119,,
2.937301789,1.1205,,
2.94503951,1.122,,
2.952800078,1.1235,,
2.960583601,1.125,,
2.968390187,1.1265,,
2.976219947,1.128,,
2.984072989,1.1295,,
2.991949424,1.131,,
2.999849361,1.1325,,
3.007772911,1.134,,
3.015720185,1.1355,,
3.023691294,1.137,,
3.031686348,1.1385,,
3.039705461,1.14,,
3.047748743,1.1415,,
3.055816306,1.143,,
3.063908265,1.1445,,
3.07202473,1.146,,
3.080165817,1.1475,,
3.088331637,1.149,,
3.096522305,1.1505,,
3.104737934,1.152,,
3.11297864,1.1535,,
3.121244537,1.155,,
3.12953574,1.1565,,
3.137852364,1.158,,
3.146194526,1.1595,,
3.15456234,1.161,,
3.162955923,1.1625,,
3.171375392,1.164,,
3.179820863,1.1655,,
3.188292454,1.167,,
3.196790282,1.1685,,
3.205314465,1.17,,
3.213865121,1.1715,,
3.222442369,1.173,,
3.231046326,1.1745,,
3.239677113,1.176,,
3.248334847,1.1775,,
3.25701965,1.179,,
3.265731641,1.1805,,
3.27447094,1.182,,
3.283237667,1.1835,,
3.292031944,1.185,,
3.300853891,1.1865,,
3.309703631,1.188,,
3.318581284,1.1895,,
3.327486973,1.191,,
3.336420821,1.1925,,
3.345382949,1.194,,
3.354373482,1.1955,,
3.363392541,1.197,,
3.372440251,1.1985,,
3.381516736,1.2,,
3.39062212,1.2015,,
3.399756527,1.203,,
3.408920082,1.2045,,
3.418112911,1.206,,
3.427335138,1.2075,,
3.43658689,1.209,,
3.445868293,1.2105,,
3.455179472,1.212,,
3.464520555,1.2135,,
3.473891668,1.215,,
3.48329294,1.2165,,
3.492724496,1.218,,
3.502186466,1.2195,,
3.511678977,1.221,,
3.521202158,1.2225,,
3.530756138,1.224,,
3.540341046,1.2255,,
3.549957011,1.227,,
3.559604163,1.2285,,
3.569282632,1.23,,
3.578992548,1.2315,,
3.588734042,1.233,,
3.598507245,1.2345,,
3.608312288,1.236,,
3.618149303,1.2375,,
3.628018422,1.239,,
3.637919776,1.2405,,
3.647853499,1.242,,
3.657819722,1.2435,,
