,V1,V2,,,11.5,1.128557473,,,,,,,,,,
0.25,0.976522625,1.78556927,19.6556927,,18.75,2.82939201,,,,,,,,,,
0.5,0.975079552,1.77141891,19.5141891,,,,,,,,,,,,,
0.75,0.972221443,1.75788098,19.3788098,,,,,,,,,,,,,
1,0.968009541,1.74522323,19.2522323,,,,,1.221399097,0.199997002,19.44,,,,,,
1.25,0.962531864,1.73368565,19.1368565,,,,,1.247598474,0.221220483,24.3,,,,,,
1.5,0.955900429,1.72348337,19.0348337,,,,,1.275381814,0.243245596,29.16,,,,,,
1.75,0.948248766,1.71480835,18.9480835,,,,,1.304988125,0.266193941,34.02,,,,,,0.9913
2,0.939729601,1.70782953,18.8782953,,,,,1.336679048,0.290188215,38.88,,,,,,
2.25,0.930512554,1.70269072,18.8269072,,,,,1.370734625,0.315346819,43.74,,,,,,
2.5,0.920781626,1.69950425,18.7950425,,,,,1.407447864,0.341778039,48.6,,,,,,
2.75,0.910732051,1.69834183,18.7834183,,,,,1.447118554,0.369574375,53.46,,,,,,
3,0.900566234,1.69922578,18.7922578,,,,,1.490046383,0.398807249,58.32,,,,,,
3.25,0.890488812,1.70212483,18.8212483,,,,,1.536522951,0.42952204,63.18,,,,,,
3.5,0.880701295,1.70695746,18.8695746,,,,,1.58682246,0.461733564,68.04,,,,,,
3.75,0.871397041,1.71360209,18.9360209,,,,,1.64119146,0.495422478,72.9,,,,,,
4,0.86275725,1.72190678,19.0190678,,,,,1.699838334,0.530533149,77.76,,,,,,
4.25,0.854947928,1.73169388,19.1169388,,,,,1.762923209,0.566973345,82.62,,,,,,
4.5,0.848117316,1.74276327,19.2276327,,,,,1.830548876,0.604615854,87.48,,,,,,
4.75,0.842393643,1.75489832,19.3489832,,,,,1.902752994,0.643301782,92.34,,,,,,
5,0.837883475,1.76787417,19.4787417,,,,,1.979501498,0.682845044,97.2,,,,,,
5.25,0.834670892,1.78146648,19.6146648,,,,,2.060683114,0.723037537,102.06,,,,,,
