Time,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Sigmunds Voss Kveik,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,Metschnikowia reukaufii,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
0:00:05,0.319,0.3,0.296,0.277,0.282,0.294,0.304,0.301,0.348,0.258,0.25,0.239,0.248,0.222,0.257,0.252,0.25,0.219,0.227,0.24,0.24,0.24,0.254,0.258
0:15:05,0.266,0.265,0.275,0.265,0.265,0.268,0.27,0.286,0.288,0.243,0.241,0.234,0.238,0.219,0.222,0.217,0.219,0.215,0.218,0.224,0.226,0.234,0.232,0.237
0:30:06,0.26,0.257,0.271,0.261,0.263,0.266,0.267,0.286,0.265,0.227,0.233,0.225,0.233,0.215,0.219,0.216,0.218,0.216,0.22,0.227,0.23,0.239,0.238,0.244
0:45:06,0.267,0.264,0.277,0.267,0.271,0.272,0.274,0.291,0.291,0.25,0.251,0.241,0.247,0.226,0.226,0.221,0.228,0.226,0.23,0.238,0.239,0.246,0.244,0.25
1:00:06,0.274,0.271,0.283,0.275,0.278,0.279,0.28,0.298,0.284,0.248,0.25,0.242,0.248,0.228,0.229,0.224,0.236,0.235,0.239,0.247,0.248,0.256,0.253,0.258
1:15:05,0.278,0.275,0.287,0.279,0.283,0.285,0.286,0.308,0.287,0.253,0.254,0.246,0.253,0.232,0.232,0.227,0.228,0.229,0.233,0.242,0.244,0.251,0.249,0.254
1:30:05,0.28,0.276,0.284,0.281,0.283,0.283,0.283,0.301,0.254,0.23,0.232,0.227,0.235,0.217,0.219,0.215,0.219,0.219,0.223,0.23,0.231,0.238,0.235,0.24
1:45:05,0.295,0.29,0.302,0.298,0.299,0.299,0.301,0.323,0.278,0.253,0.255,0.249,0.257,0.236,0.238,0.233,0.236,0.238,0.242,0.251,0.253,0.261,0.259,0.265
2:00:05,0.3,0.291,0.303,0.3,0.3,0.301,0.299,0.316,0.255,0.233,0.233,0.229,0.238,0.218,0.221,0.217,0.217,0.218,0.221,0.228,0.229,0.236,0.234,0.238
2:15:06,0.322,0.309,0.323,0.315,0.322,0.328,0.326,0.343,0.284,0.258,0.259,0.252,0.261,0.239,0.24,0.235,0.236,0.237,0.242,0.252,0.253,0.261,0.259,0.266
2:30:06,0.332,0.322,0.33,0.326,0.329,0.345,0.335,0.35,0.285,0.261,0.261,0.255,0.263,0.24,0.241,0.235,0.234,0.236,0.24,0.25,0.251,0.259,0.258,0.265
2:45:05,0.357,0.346,0.351,0.349,0.35,0.36,0.355,0.368,0.283,0.262,0.262,0.256,0.264,0.241,0.243,0.237,0.236,0.237,0.243,0.252,0.253,0.261,0.259,0.266
3:00:05,0.369,0.357,0.369,0.362,0.358,0.365,0.375,0.383,0.276,0.256,0.257,0.252,0.261,0.239,0.241,0.236,0.229,0.231,0.236,0.245,0.246,0.254,0.252,0.26
3:15:05,0.38,0.363,0.373,0.367,0.361,0.373,0.383,0.376,0.252,0.235,0.234,0.231,0.24,0.222,0.224,0.221,0.221,0.221,0.224,0.231,0.231,0.238,0.234,0.24
3:30:05,0.399,0.373,0.376,0.385,0.381,0.392,0.405,0.408,0.252,0.236,0.235,0.233,0.242,0.224,0.226,0.223,0.217,0.218,0.221,0.228,0.229,0.237,0.234,0.241
