Time,S288C,S288C,S288C,S288C,S288C,S288C,S288C,S288C,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
0:00:05,0.358,0.285,0.288,0.294,0.284,0.305,0.307,0.3,0.412,0.428,0.43,0.437,0.46,0.475,0.471,0.475
0:15:05,0.338,0.323,0.326,0.325,0.332,0.34,0.345,0.342,0.252,0.262,0.267,0.279,0.291,0.304,0.315,0.324
0:30:06,0.316,0.285,0.285,0.291,0.3,0.312,0.327,0.329,0.275,0.283,0.29,0.303,0.314,0.327,0.336,0.348
0:45:06,0.293,0.265,0.267,0.264,0.273,0.281,0.291,0.295,0.274,0.281,0.287,0.3,0.312,0.326,0.335,0.346
1:00:06,0.284,0.263,0.258,0.261,0.264,0.272,0.279,0.278,0.273,0.282,0.289,0.303,0.316,0.332,0.342,0.356
1:15:05,0.282,0.266,0.258,0.259,0.262,0.266,0.271,0.271,0.244,0.252,0.258,0.272,0.283,0.3,0.311,0.325
1:30:05,0.266,0.245,0.246,0.246,0.248,0.249,0.25,0.254,0.285,0.315,0.297,0.316,0.328,0.339,0.352,0.36
1:45:05,0.28,0.255,0.257,0.257,0.26,0.262,0.263,0.267,0.271,0.28,0.286,0.3,0.311,0.327,0.332,0.346
2:00:05,0.262,0.24,0.239,0.242,0.244,0.253,0.251,0.254,0.295,0.301,0.306,0.319,0.331,0.345,0.352,0.362
2:15:06,0.292,0.262,0.258,0.26,0.267,0.278,0.271,0.273,0.437,0.434,0.457,0.477,0.501,0.508,0.49,0.507
2:30:06,0.295,0.262,0.261,0.262,0.265,0.277,0.276,0.281,0.337,0.35,0.362,0.378,0.4,0.416,0.426,0.441
2:45:05,0.316,0.276,0.275,0.274,0.279,0.293,0.288,0.298,0.273,0.218,0.223,0.236,0.252,0.263,0.269,0.291
3:00:05,0.335,0.286,0.285,0.286,0.289,0.308,0.303,0.315,0.239,0.25,0.26,0.277,0.28,0.299,0.309,0.324
3:15:05,0.33,0.277,0.286,0.284,0.283,0.303,0.303,0.309,0.297,0.303,0.31,0.324,0.336,0.351,0.352,0.364
3:30:05,0.364,0.295,0.305,0.302,0.306,0.33,0.325,0.325,0.295,0.302,0.311,0.325,0.339,0.355,0.364,0.375
3:45:05,0.405,0.325,0.336,0.344,0.344,0.37,0.38,0.375,0.291,0.3,0.307,0.322,0.335,0.351,0.359,0.371
4:00:06,0.431,0.336,0.357,0.357,0.359,0.386,0.4,0.396,0.298,0.306,0.314,0.329,0.341,0.357,0.365,0.377
4:15:05,0.457,0.348,0.371,0.377,0.381,0.415,0.419,0.416,0.299,0.309,0.318,0.329,0.342,0.358,0.365,0.378
4:30:05,0.482,0.367,0.404,0.406,0.403,0.438,0.452,0.439,0.306,0.314,0.323,0.34,0.353,0.37,0.379,0.391
4:45:05,0.494,0.372,0.386,0.428,0.428,0.453,0.471,0.459,0.297,0.305,0.314,0.329,0.342,0.358,0.366,0.377
5:00:05,0.566,0.42,0.406,0.465,0.468,0.497,0.545,0.525,0.272,0.277,0.285,0.298,0.309,0.325,0.333,0.345
5:15:05,0.599,0.444,0.431,0.498,0.494,0.552,0.564,0.551,0.298,0.305,0.315,0.33,0.342,0.358,0.367,0.38
5:30:05,0.573,0.453,0.419,0.514,0.514,0.561,0.577,0.556,0.293,0.303,0.314,0.33,0.345,0.361,0.371,0.384
5:45:05,0.633,0.471,0.452,0.542,0.54,0.602,0.604,0.595,0.273,0.279,0.287,0.301,0.314,0.331,0.34,0.351
6:00:05,0.632,0.499,0.458,0.564,0.563,0.624,0.651,0.618,0.297,0.307,0.318,0.335,0.351,0.367,0.379,0.392
